"";"pca_riskpref";"pca_socpref_nointeract";"pca_timepref";"pca_socpref_interact";"female";"math";"read";"gpa_i";"pared_d1";"pared_d2";"pared_d3"
"pca_riskpref";1;0,00442081397869248;0,0156627368332109;0,00745227513839161;-0,140767417795544;0,251046023298857;0,249628557301604;0,101081876699043;-0,0565702930579239;-0,103676986514132;0,106197039333832
"pca_socpref_nointeract";0,00442081397869248;1;-0,00864345622390653;-0,00669967185071042;0,153903512220175;-0,148553104582839;-0,083669590682114;-0,0432973819099117;-0,0107033908641278;0,0469251464079662;-0,0342821039248149
"pca_timepref";0,0156627368332109;-0,00864345622390653;1;0,00296897418650766;-0,1438010803014;0,208993779608793;0,139055742902393;0,120759814562349;-0,000430522448596896;-0,13234541875509;0,11246184201839
"pca_socpref_interact";0,00745227513839161;-0,00669967185071042;0,00296897418650766;1;-0,161191501186691;0,188035473931472;0,150563724697493;0,0416894685660528;0,00668523282867737;-0,0752792608253923;0,0688191961901804
"female";-0,140767417795544;0,153903512220175;-0,1438010803014;-0,161191501186691;1;-0,268179934754574;-0,0620360937093614;0,0307564078037576;0,018829936846028;0,133829217368717;-0,117158444607235
"math";0,251046023298857;-0,148553104582839;0,208993779608793;0,188035473931472;-0,268179934754574;1;0,748275672991192;0,460289061525792;-0,0666587943274484;-0,328632062735379;0,333444128065618
"read";0,249628557301604;-0,083669590682114;0,139055742902393;0,150563724697493;-0,0620360937093614;0,748275672991192;1;0,50531472528855;-0,0747577828864125;-0,325229880587489;0,336989163581138
"gpa_i";0,101081876699043;-0,0432973819099117;0,120759814562349;0,0416894685660528;0,0307564078037576;0,460289061525792;0,50531472528855;1;-0,0691626245855022;-0,285521046830565;0,302468243462505
"pared_d1";-0,0565702930579239;-0,0107033908641278;-0,000430522448596896;0,00668523282867737;0,018829936846028;-0,0666587943274484;-0,0747577828864125;-0,0691626245855022;1;-0,103727321064186;-0,14227968334888
"pared_d2";-0,103676986514132;0,0469251464079662;-0,13234541875509;-0,0752792608253923;0,133829217368717;-0,328632062735379;-0,325229880587489;-0,285521046830565;-0,103727321064186;1;-0,789180160103694
"pared_d3";0,106197039333832;-0,0342821039248149;0,11246184201839;0,0688191961901804;-0,117158444607235;0,333444128065618;0,336989163581138;0,302468243462505;-0,14227968334888;-0,789180160103694;1
