"";"Var.1";"X1..N.554.";"X2..N.230.";"X3..N.251.";"Total..N.1035.";"p.value"
"1";"**delta**";"";"";"";"";"< 0.001"
"2";"&nbsp;&nbsp;&nbsp;Mean (SD)";"0.689 (0.139)";"0.805 (0.145)";"0.818 (0.135)";"0.746 (0.153)";""
"3";"&nbsp;&nbsp;&nbsp;Range";"0.333 - 0.971";"0.333 - 0.971";"0.333 - 0.971";"0.333 - 0.971";""
"4";"**beta**";"";"";"";"";"< 0.001"
"5";"&nbsp;&nbsp;&nbsp;Mean (SD)";"1.080 (0.243)";"0.973 (0.189)";"0.975 (0.170)";"1.031 (0.222)";""
"6";"&nbsp;&nbsp;&nbsp;Range";"0.353 - 2.913";"0.343 - 1.858";"0.343 - 1.890";"0.343 - 2.913";""
"7";"**dictator**";"";"";"";"";"< 0.001"
"8";"&nbsp;&nbsp;&nbsp;Mean (SD)";"44.807 (10.729)";"15.566 (15.086)";"48.291 (15.484)";"39.154 (18.196)";""
"9";"&nbsp;&nbsp;&nbsp;Range";"5.000 - 100.000";"0.000 - 50.000";"0.000 - 100.000";"0.000 - 100.000";""
"10";"**dictator_schoolmate**";"";"";"";"";"< 0.001"
"11";"&nbsp;&nbsp;&nbsp;Mean (SD)";"28.565 (16.040)";"8.817 (12.085)";"41.947 (21.307)";"27.422 (20.215)";""
"12";"&nbsp;&nbsp;&nbsp;Range";"0.000 - 100.000";"0.000 - 50.000";"0.000 - 100.000";"0.000 - 100.000";""
"13";"**risk**";"";"";"";"";"< 0.001"
"14";"&nbsp;&nbsp;&nbsp;Mean (SD)";"26.657 (14.598)";"41.304 (18.368)";"42.064 (19.934)";"33.648 (18.471)";""
"15";"&nbsp;&nbsp;&nbsp;Range";"1.000 - 84.000";"1.000 - 99.000";"1.000 - 99.000";"1.000 - 99.000";""
"16";"**publicgood**";"";"";"";"";"< 0.001"
"17";"&nbsp;&nbsp;&nbsp;Mean (SD)";"53.721 (21.431)";"53.270 (32.663)";"82.232 (23.171)";"60.535 (27.615)";""
"18";"&nbsp;&nbsp;&nbsp;Range";"0.000 - 100.000";"0.000 - 100.000";"0.000 - 100.000";"0.000 - 100.000";""
"19";"**trust**";"";"";"";"";"< 0.001"
"20";"&nbsp;&nbsp;&nbsp;Mean (SD)";"48.971 (17.111)";"43.522 (28.087)";"79.761 (20.590)";"55.227 (25.127)";""
"21";"&nbsp;&nbsp;&nbsp;Range";"0.000 - 100.000";"0.000 - 100.000";"30.000 - 100.000";"0.000 - 100.000";""
"22";"**trust_return**";"";"";"";"";"< 0.001"
"23";"&nbsp;&nbsp;&nbsp;Mean (SD)";"38.246 (12.248)";"27.601 (15.812)";"49.132 (16.077)";"38.520 (15.874)";""
"24";"&nbsp;&nbsp;&nbsp;Range";"8.258 - 95.450";"0.000 - 82.788";"5.000 - 100.000";"0.000 - 100.000";""
"25";"**comp**";"";"";"";"";"0.473"
"26";"&nbsp;&nbsp;&nbsp;Mean (SD)";"0.599 (0.490)";"0.639 (0.481)";"0.633 (0.483)";"0.616 (0.486)";""
"27";"&nbsp;&nbsp;&nbsp;Range";"0.000 - 1.000";"0.000 - 1.000";"0.000 - 1.000";"0.000 - 1.000";""
"28";"**pca_socpref_interact**";"";"";"";"";"< 0.001"
"29";"&nbsp;&nbsp;&nbsp;Mean (SD)";"-0.247 (0.688)";"-0.455 (1.132)";"0.932 (0.847)";"-0.007 (1.000)";""
"30";"&nbsp;&nbsp;&nbsp;Range";"-2.064 - 1.991";"-3.029 - 1.948";"-1.925 - 3.270";"-3.029 - 3.270";""
"31";"**pca_timepref**";"";"";"";"";"< 0.001"
"32";"&nbsp;&nbsp;&nbsp;Mean (SD)";"-0.305 (1.013)";"0.367 (0.879)";"0.397 (0.773)";"0.015 (0.991)";""
"33";"&nbsp;&nbsp;&nbsp;Range";"-6.848 - 2.788";"-3.216 - 2.785";"-3.457 - 2.858";"-6.848 - 2.858";""
"34";"**pca_socpref_nointeract**";"";"";"";"";"< 0.001"
"35";"&nbsp;&nbsp;&nbsp;Mean (SD)";"0.210 (0.657)";"-1.196 (0.675)";"0.614 (0.947)";"-0.005 (0.991)";""
"36";"&nbsp;&nbsp;&nbsp;Range";"-1.633 - 2.592";"-2.450 - 0.855";"-2.152 - 3.864";"-2.450 - 3.864";""
"37";"**pca_riskpref**";"";"";"";"";"< 0.001"
"38";"&nbsp;&nbsp;&nbsp;Mean (SD)";"-0.342 (0.817)";"0.368 (1.025)";"0.426 (1.052)";"0.002 (0.997)";""
"39";"&nbsp;&nbsp;&nbsp;Range";"-2.835 - 2.555";"-2.041 - 4.153";"-1.967 - 3.490";"-2.835 - 4.153";""
"40";"**gpa_i**";"";"";"";"";"< 0.001"
"41";"&nbsp;&nbsp;&nbsp;Mean (SD)";"4.478 (0.450)";"4.584 (0.421)";"4.586 (0.388)";"4.528 (0.432)";""
"42";"&nbsp;&nbsp;&nbsp;Range";"1.700 - 5.000";"1.700 - 5.000";"3.100 - 5.000";"1.700 - 5.000";""
"43";"**female**";"";"";"";"";"< 0.001"
"44";"&nbsp;&nbsp;&nbsp;";"2 (0.4%)";"0 (0.0%)";"0 (0.0%)";"2 (0.2%)";""
"45";"&nbsp;&nbsp;&nbsp;female";"374 (67.5%)";"96 (41.7%)";"113 (45.0%)";"583 (56.3%)";""
"46";"&nbsp;&nbsp;&nbsp;male";"178 (32.1%)";"134 (58.3%)";"138 (55.0%)";"450 (43.5%)";""
"47";"**pared_d3**";"";"";"";"";"< 0.001"
"48";"&nbsp;&nbsp;&nbsp;Mean (SD)";"0.448 (0.498)";"0.596 (0.492)";"0.610 (0.489)";"0.520 (0.500)";""
"49";"&nbsp;&nbsp;&nbsp;Range";"0.000 - 1.000";"0.000 - 1.000";"0.000 - 1.000";"0.000 - 1.000";""
"50";"**age**";"";"";"";"";"0.413"
"51";"&nbsp;&nbsp;&nbsp;Mean (SD)";"201.652 (13.574)";"202.865 (12.994)";"202.677 (13.936)";"202.170 (13.535)";""
"52";"&nbsp;&nbsp;&nbsp;Range";"174.000 - 247.000";"174.000 - 240.000";"177.000 - 239.000";"174.000 - 247.000";""
"53";"**math**";"";"";"";"";"< 0.001"
"54";"&nbsp;&nbsp;&nbsp;Mean (SD)";"-0.307 (0.877)";"0.320 (1.039)";"0.390 (0.994)";"0.001 (1.000)";""
"55";"&nbsp;&nbsp;&nbsp;Range";"-2.490 - 2.695";"-2.165 - 2.903";"-2.216 - 2.598";"-2.490 - 2.903";""
"56";"**read**";"";"";"";"";"< 0.001"
"57";"&nbsp;&nbsp;&nbsp;Mean (SD)";"-0.212 (0.958)";"0.211 (0.991)";"0.299 (0.997)";"0.006 (1.002)";""
"58";"&nbsp;&nbsp;&nbsp;Range";"-2.643 - 2.730";"-2.393 - 2.730";"-2.633 - 2.471";"-2.643 - 2.730";""
